chr	pos	length_bp	sample_count	freq	freq_class	is_short
chr1	118142017.0	1	1	0.00021172983273343214	private	True
chr1	118142050.0	1	14	0.0029642176582680498	rare	True
chr1	118142097.0	1	4	0.0008469193309337286	ultra-rare	True
chr1	118142101.0	1	3	0.0006351894982002964	ultra-rare	True
chr1	118142105.0	1	3	0.0006351894982002964	ultra-rare	True
chr1	118142115.0	1	2	0.0004234596654668643	ultra-rare	True
chr1	118142126.0	1	1	0.00021172983273343214	private	True
chr1	118142136.0	1	7	0.0014821088291340249	rare	True
chr1	118142139.0	1	2	0.0004234596654668643	ultra-rare	True
chr1	118142147.0	1	4	0.0008469193309337286	ultra-rare	True
chr1	118142154.0	1	2	0.0004234596654668643	ultra-rare	True
chr1	118142156.0	1	4	0.0008469193309337286	ultra-rare	True
chr1	118142166.0	1	1	0.00021172983273343214	private	True
chr1	118142168.0	1	2	0.0004234596654668643	ultra-rare	True
chr1	118142171.0	1	3	0.0006351894982002964	ultra-rare	True
chrM	2613.0	1	5	0.0010586491636671606	rare	True
chrM	2618.0	1	4	0.0008469193309337286	ultra-rare	True
chrM	2647.0	1	3	0.0006351894982002964	ultra-rare	True
chrM	2652.0	1	18	0.0038111369892017783	rare	True
chr11	49862049.0	1	241	0.05102688968875715	common	True
chr11	49862056.0	1	314	0.06648316747829769	common	True
chr11	49862082.0	1	378	0.08003387677323735	common	True
chr11	49862116.0	1	929	0.19669701460935846	common	True
chr11	49862137.0	1	434	0.09189074740630955	common	True
chr11	49862147.0	1	53	0.011221681134871904	common	True
chrM	16088.0	1	3667	0.7764132966334957	common	True
chr17	22521434.0	1	3608	0.7639212365022232	common	True
chr17	22521435.0	1	3744	0.7927164937539699	common	True
chr17	22521437.0	1	3316	0.702096125344061	common	True
chr17	22521439.0	1	3489	0.7387253864069447	common	True
chr17	22521440.0	1	3366	0.7126826169807325	common	True
chr17	22521441.0	1	3461	0.7327969510904087	common	True
chr17	22521444.0	1	3581	0.7582045310184204	common	True
chr17	22521445.0	1	3722	0.7880584374338344	common	True
chr17	22521446.0	1	3342	0.7076011009951302	common	True
chr17	22521447.0	1	3545	0.7505822570400169	common	True
chr17	22521448.0	1	3021	0.6396358246876985	common	True
chr17	22521449.0	1	3412	0.7224221892864705	common	True
chr17	22521450.0	1	3748	0.7935634130849036	common	True
chr17	22521451.0	1	3887	0.8229938598348507	common	True
chr17	22521452.0	1	3784	0.8011856870633072	common	True
chr17	22521453.0	1	3949	0.8361211094643235	common	True
chr17	22521454.0	1	3778	0.7999153080669066	common	True
chr17	22521455.0	1	3679	0.7789540546262969	common	True
chr17	22521456.0	1	3742	0.792293034088503	common	True
chr17	22521457.0	1	3992	0.8452254922718611	common	True
chr17	22521458.0	1	3806	0.8058437433834428	common	True
chr17	22521459.0	1	3649	0.7726021596442939	common	True
chr17	22521460.0	1	4610	0.9760745289011221	common	True
chr17	22521461.0	1	3769	0.7980097395723057	common	True
chrM	16565.0	1	567	0.12005081515985602	common	True
chrM	16569.0	1	4667	0.9881431293669278	common	True
chr21	21708298.0	1	900	0.19055684946008894	common	True
chr21	21708362.0	1	151	0.031971204742748255	common	True
chr21	21708378.0	1	160	0.03387677323734914	common	True
chrM	5712.0	1	2200	0.4658056320135507	common	True
chr21	9676572.0	1	753	0.1594325640482744	common	True
chr21	9676635.0	1	78	0.016514926953207706	common	True
chrM	12476.0	1	56	0.011856870633072199	common	True
chrM	13227.0	1	1665	0.3525301715011645	common	True
chr9	129767.0	1	2527	0.535041287317383	common	True
chr9	129846.0	1	115	0.024348930764344696	common	True
chr9	129858.0	1	142	0.030065636248147364	common	True
chr9	129880.0	1	95	0.020114334109676054	common	True
chr9	130169.0	1	1	0.00021172983273343214	private	True
chr9	129621.0	1	50	0.010586491636671608	common	True
chrM	6224.0	1	2344	0.49629472792716495	common	True
chrM	6313.0	1	236	0.04996824052508998	common	True
chrM	6328.0	1	334	0.07071776413296633	common	True
chrM	6329.0	1	404	0.08553885242430659	common	True
chrM	6337.0	1	300	0.06351894982002965	common	True
chrM	6345.0	1	178	0.03768791022655092	common	True
