merged_cluster_id	chr	cluster_min_midpoint	cluster_max_midpoint	cluster_midpoint_mean	POS	sample_count	frequency	frequency_class	is_singleton	is_doubleton	is_tripleton
77_chr17	chr17	22519755	22529657	22521422.005446367	315	8354	0.9978499761108457	common	False	False	False
2_chr1	chr1	629082	634861	631914.9772170342	3710	8044	0.9608217869087434	common	False	False	False
175_chr11	chr11	49861727	49862240	49861996.56033661	360	6298	0.752269469660774	common	False	False	False
131_chr2	chr2	32916195	32916493	32916388.2225574	189	5967	0.7127329192546584	common	False	False	False
119_chr5	chr5	32338116	32338657	32338407.80644574	363	5492	0.6559961777353082	common	False	False	False
459_chr13	chr13	109423899	109424413	109424178.68097754	170	4542	0.5425226946966077	common	False	False	False
357_chr4	chr4	86138428	86139454	86138880.05016033	725	4258	0.5086000955566173	common	False	False	False
58_chr21	chr21	9676276	9676878	9676509.002649326	373	4151	0.49581939799331104	common	False	False	False
111_chr21	chr21	21707803	21708798	21708279.876960192	719	4113	0.491280458671763	common	False	False	False
259_chr14	chr14	99420941	99421007	99420947.61940108	14	3907	0.46667462971810797	common	False	False	False
2_chr9	chr9	129457	129901	129696.02551546392	298	3880	0.4634495938843765	common	False	False	False
560_chr2	chr2	153222084	153222313	153222308.86442515	11	3688	0.44051600573339705	common	False	False	False
97_chrX	chrX	44282530	44282645	44282620.02417266	16	3475	0.4150740563784042	common	False	False	False
781_chr2	chr2	222866741	222866937	222866745.41232228	13	3376	0.4032489249880554	common	False	False	False
201_chr11	chr11	61391244	61391289	61391252.487628244	15	3314	0.39584328714763495	common	False	False	False
163_chr16	chr16	50442844	50442915	50442847.23949709	9	3261	0.3895126612517917	common	False	False	False
107_chr10	chr10	31969905	31970215	31970051.49629401	18	3238	0.38676540850453894	common	False	False	False
336_chr7	chr7	106101429	106101444	106101437.91535372	16	3237	0.38664596273291924	common	False	False	False
417_chr2	chr2	113486795	113487767	113487470.44200152	332	2636	0.31485905398948877	common	False	False	False
109_chr4	chr4	29439143	29439751	29439544.99234889	312	2614	0.3122312470138557	common	False	False	False
