HG001	2	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG001/HG001.mt.disc.sam	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG001/HG001.mt.split.sam	/mnt/d/5-NCBI-Reference/3-Human/example/HG001.bam	chr11	49861375	49863007
HG001	3	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG001/HG001.mt.disc.sam	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG001/HG001.mt.split.sam	/mnt/d/5-NCBI-Reference/3-Human/example/HG001.bam	chr1	633396	634563
HG001	3	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG001/HG001.mt.disc.sam	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG001/HG001.mt.split.sam	/mnt/d/5-NCBI-Reference/3-Human/example/HG001.bam	chr5	32337638	32339245
HG002_5X	4	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG002_5X/HG002_5X.mt.disc.sam	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG002_5X/HG002_5X.mt.split.sam	/mnt/d/5-NCBI-Reference/3-Human/example/HG002_5X.bam	chr11	49861520	49862939
HG002_5X	3	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG002_5X/HG002_5X.mt.disc.sam	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG002_5X/HG002_5X.mt.split.sam	/mnt/d/5-NCBI-Reference/3-Human/example/HG002_5X.bam	chr1	633402	634568
HG002_5X	5	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG002_5X/HG002_5X.mt.disc.sam	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG002_5X/HG002_5X.mt.split.sam	/mnt/d/5-NCBI-Reference/3-Human/example/HG002_5X.bam	chr21	9675697	9677436
HG002_5X	3	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG002_5X/HG002_5X.mt.disc.sam	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG002_5X/HG002_5X.mt.split.sam	/mnt/d/5-NCBI-Reference/3-Human/example/HG002_5X.bam	chr5	32337782	32339288
HG002_5X	2	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG002_5X/HG002_5X.mt.disc.sam	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG002_5X/HG002_5X.mt.split.sam	/mnt/d/5-NCBI-Reference/3-Human/example/HG002_5X.bam	chr9	129055	130646
HG003_5X	2	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG003_5X/HG003_5X.mt.disc.sam	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG003_5X/HG003_5X.mt.split.sam	/mnt/d/5-NCBI-Reference/3-Human/example/HG003_5X.bam	chr11	49861232	49862394
HG003_5X	2	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG003_5X/HG003_5X.mt.disc.sam	/mnt/f/Onedrive/文档（科研）/脚本/Download/15-NUMTs-detector-V2/1-1-获得NUMTs分布旧版/output/HG003_5X/HG003_5X.mt.split.sam	/mnt/d/5-NCBI-Reference/3-Human/example/HG003_5X.bam	chr17	22520868	22522018
