	mergedClusterID	GroupID	Index	POS	CHR	min	max
0	0_chr1	2	2	2	2	10000	10178
1	0_chr10	5	5	5	5	10002	10179
2	0_chr11	1	1	1	1	190806	190806
3	0_chr12	6	6	6	6	43297	43300
4	0_chr13	1	1	1	1	16011414	16011414
5	0_chr14	6	6	6	6	16103459	16103924
6	0_chr15	1	1	1	1	17080530	17080530
7	0_chr16	11	11	11	11	52766	52775
8	0_chr17	3	3	3	3	117293	117611
9	0_chr18	1	1	1	1	10182	10182
10	0_chr19	1	1	1	1	512887	512887
11	0_chr2	1	1	1	1	37685	37685
12	0_chr20	1	1	1	1	61669	61669
13	0_chr21	2	2	2	2	5057879	5057880
14	0_chr22	1	1	1	1	10523391	10523391
15	0_chr3	1	1	1	1	110732	110732
16	0_chr4	1	1	1	1	15600	15600
17	0_chr5	38	38	38	38	10110	11620
18	0_chr6	1	1	1	1	302984	302984
19	0_chr7	1	1	1	1	34832	34832
20	0_chr8	1	1	1	1	247319	247319
21	0_chr9	7	7	7	7	10224	11167
22	0_chrX	1	1	1	1	34143	34143
23	0_chrY	1	1	1	1	2879390	2879390
24	1000_chr1	1	1	1	1	88890370	88890370
25	1000_chr10	1	1	1	1	75413851	75413851
26	1000_chr11	1	1	1	1	91027885	91027885
27	1000_chr12	1	1	1	1	84795908	84795908
28	1000_chr13	1	1	1	1	55592799	55592799
29	1000_chr14	1	1	1	1	101896854	101896854
30	1000_chr2	1	1	1	1	82459318	82459318
31	1000_chr3	25	25	25	25	81768947	81768966
32	1000_chr4	2	2	2	2	73773870	73774667
33	1000_chr5	1	1	1	1	85914031	85914031
34	1000_chr6	1	1	1	1	82743216	82743216
35	1000_chr7	1	1	1	1	84099850	84099850
36	1000_chr8	1	1	1	1	82504117	82504117
37	1000_chr9	1	1	1	1	86056485	86056485
38	1001_chr1	1	1	1	1	88897481	88897481
39	1001_chr10	1	1	1	1	75429256	75429256
40	1001_chr11	1	1	1	1	91115648	91115648
41	1001_chr12	1	1	1	1	84877485	84877485
42	1001_chr13	1	1	1	1	55636879	55636879
43	1001_chr14	1	1	1	1	102463417	102463417
44	1001_chr2	1	1	1	1	82560662	82560662
45	1001_chr3	1	1	1	1	81781999	81781999
46	1001_chr4	4	4	4	4	73861679	73861684
47	1001_chr5	1	1	1	1	85925889	85925889
48	1001_chr6	1	1	1	1	82839354	82839354
49	1001_chr7	1	1	1	1	84128393	84128393
50	1001_chr8	1	1	1	1	82558540	82558540
51	1001_chr9	1	1	1	1	86091469	86091469
52	1002_chr1	1	1	1	1	88906803	88906803
53	1002_chr10	1	1	1	1	75513035	75513035
54	1002_chr11	1	1	1	1	91176330	91176330
55	1002_chr12	1	1	1	1	84929581	84929581
56	1002_chr13	1	1	1	1	55887329	55887329
57	1002_chr14	3	3	3	3	102609027	102609030
58	1002_chr2	1	1	1	1	82651188	82651188
59	1002_chr3	1	1	1	1	81824613	81824613
60	1002_chr4	1	1	1	1	73883846	73883846
61	1002_chr5	1	1	1	1	85933752	85933752
62	1002_chr6	1	1	1	1	82851804	82851804
63	1002_chr7	1	1	1	1	84163289	84163289
64	1002_chr8	13	13	13	13	82658062	82658151
65	1002_chr9	1	1	1	1	86227886	86227886
66	1003_chr1	1	1	1	1	88962543	88962543
67	1003_chr10	1	1	1	1	75523080	75523080
68	1003_chr11	1	1	1	1	91243847	91243847
69	1003_chr12	1	1	1	1	84996314	84996314
70	1003_chr13	1	1	1	1	56061352	56061352
71	1003_chr14	1	1	1	1	102624153	102624153
72	1003_chr2	1	1	1	1	82805064	82805064
73	1003_chr3	1	1	1	1	82005801	82005801
74	1003_chr4	1	1	1	1	73914145	73914145
75	1003_chr5	1	1	1	1	86146270	86146270
76	1003_chr6	1	1	1	1	82913452	82913452
77	1003_chr7	1	1	1	1	84165751	84165751
78	1003_chr8	1	1	1	1	82696461	82696461
79	1003_chr9	1	1	1	1	86285411	86285411
80	1004_chr1	1	1	1	1	88998233	88998233
81	1004_chr10	1	1	1	1	75901856	75901856
82	1004_chr11	1	1	1	1	91330616	91330616
83	1004_chr12	1	1	1	1	85015558	85015558
84	1004_chr13	1	1	1	1	56091107	56091107
85	1004_chr14	2	2	2	2	102811551	102811557
86	1004_chr2	2	2	2	2	82815928	82816145
87	1004_chr3	1	1	1	1	82022930	82022930
88	1004_chr4	1	1	1	1	74057891	74057891
89	1004_chr5	1	1	1	1	86252675	86252675
90	1004_chr6	2	2	2	2	83078099	83078750
91	1004_chr7	1	1	1	1	84195698	84195698
92	1004_chr8	7	7	7	7	82914930	82914935
93	1004_chr9	1	1	1	1	86337336	86337336
94	1005_chr1	1	1	1	1	89161037	89161037
95	1005_chr10	1	1	1	1	75957493	75957493
96	1005_chr11	1	1	1	1	91352087	91352087
97	1005_chr12	1	1	1	1	85096760	85096760
98	1005_chr13	1	1	1	1	56225181	56225181
99	1005_chr14	1	1	1	1	102837074	102837074
100	1005_chr2	1	1	1	1	82818932	82818932
101	1005_chr3	1	1	1	1	82179165	82179165
102	1005_chr4	1	1	1	1	74144724	74144724
103	1005_chr5	1	1	1	1	86282775	86282775
104	1005_chr6	1	1	1	1	83106042	83106042
105	1005_chr7	1	1	1	1	84204969	84204969
106	1005_chr8	1	1	1	1	83082250	83082250
107	1005_chr9	1	1	1	1	86387875	86387875
108	1006_chr1	1	1	1	1	89188001	89188001
109	1006_chr10	1	1	1	1	76083051	76083051
110	1006_chr11	1	1	1	1	91435618	91435618
111	1006_chr12	1	1	1	1	85492740	85492740
112	1006_chr13	1	1	1	1	56231750	56231750
113	1006_chr14	2	2	2	2	102972688	102972689
114	1006_chr2	5	5	5	5	82834450	82834457
115	1006_chr3	1	1	1	1	82218834	82218834
116	1006_chr4	1	1	1	1	74253497	74253497
117	1006_chr5	1	1	1	1	86639719	86639719
118	1006_chr6	1	1	1	1	83158204	83158204
119	1006_chr7	1	1	1	1	84208607	84208607
120	1006_chr8	1	1	1	1	83222684	83222684
121	1006_chr9	8	8	8	8	86425379	86425385
122	1007_chr1	1	1	1	1	89213384	89213384
123	1007_chr10	1	1	1	1	76088605	76088605
124	1007_chr11	1	1	1	1	91439681	91439681
125	1007_chr12	1	1	1	1	85655062	85655062
126	1007_chr13	1	1	1	1	56280670	56280670
127	1007_chr14	1	1	1	1	103062063	103062063
128	1007_chr2	1	1	1	1	82966431	82966431
129	1007_chr3	1	1	1	1	82228795	82228795
130	1007_chr4	1	1	1	1	74383611	74383611
131	1007_chr5	1	1	1	1	86750991	86750991
132	1007_chr6	1	1	1	1	83189207	83189207
133	1007_chr7	1	1	1	1	84381711	84381711
134	1007_chr8	1	1	1	1	83267160	83267160
135	1007_chr9	1	1	1	1	86680869	86680869
136	1008_chr1	1	1	1	1	89408287	89408287
137	1008_chr10	1	1	1	1	76136571	76136571
138	1008_chr11	1	1	1	1	91538634	91538634
139	1008_chr12	1	1	1	1	85688908	85688908
140	1008_chr13	1	1	1	1	56535668	56535668
141	1008_chr14	1	1	1	1	103126454	103126454
142	1008_chr2	1	1	1	1	82977486	82977486
143	1008_chr3	1	1	1	1	82252729	82252729
144	1008_chr4	1	1	1	1	74426794	74426794
145	1008_chr5	11	11	11	11	86770443	86770469
146	1008_chr6	1	1	1	1	83279214	83279214
147	1008_chr7	1	1	1	1	84397017	84397017
148	1008_chr8	1	1	1	1	83381683	83381683
149	1008_chr9	1	1	1	1	86803851	86803851
150	1009_chr1	1	1	1	1	89426292	89426292
151	1009_chr10	1	1	1	1	76249562	76249562
152	1009_chr11	1	1	1	1	91629033	91629033
153	1009_chr12	1	1	1	1	85796274	85796274
154	1009_chr13	1	1	1	1	56557648	56557648
155	1009_chr14	1	1	1	1	103136315	103136315
156	1009_chr2	1	1	1	1	82995518	82995518
157	1009_chr3	1	1	1	1	82367374	82367374
158	1009_chr4	1	1	1	1	74441042	74441042
159	1009_chr5	1	1	1	1	86832101	86832101
160	1009_chr6	1	1	1	1	83639928	83639928
161	1009_chr7	1	1	1	1	84410637	84410637
162	1009_chr8	1	1	1	1	83429686	83429686
163	1009_chr9	1	1	1	1	86825187	86825187
164	100_chr1	9	9	9	9	9081260	9081265
165	100_chr10	10	10	10	10	8678663	8678668
166	100_chr11	1	1	1	1	9597934	9597934
167	100_chr12	1	1	1	1	10148324	10148324
168	100_chr13	1	1	1	1	16487857	16487857
169	100_chr14	1	1	1	1	25587363	25587363
170	100_chr15	2	2	2	2	24137342	24137343
171	100_chr16	1	1	1	1	9126840	9126840
172	100_chr17	1	1	1	1	9450858	9450858
173	100_chr18	1	1	1	1	10232705	10232705
174	100_chr19	1	1	1	1	12890880	12890880
175	100_chr2	1	1	1	1	7492041	7492041
176	100_chr20	1	1	1	1	10614920	10614920
177	100_chr21	530	530	530	530	9676276	9676814
178	100_chr22	1	1	1	1	16964754	16964754
179	100_chr3	1	1	1	1	7754947	7754947
180	100_chr4	1	1	1	1	9242704	9242704
181	100_chr5	1	1	1	1	7790395	7790395
182	100_chr6	10	10	10	10	7937795	7937887
183	100_chr7	1	1	1	1	11013624	11013624
184	100_chr8	1	1	1	1	7555840	7555840
185	100_chr9	1	1	1	1	6935587	6935587
186	100_chrX	1	1	1	1	12949765	12949765
187	100_chrY	1	1	1	1	11581805	11581805
188	1010_chr1	1	1	1	1	89474801	89474801
189	1010_chr10	1	1	1	1	76264410	76264410
190	1010_chr11	1	1	1	1	91685262	91685262
191	1010_chr12	1	1	1	1	85873158	85873158
192	1010_chr13	1	1	1	1	56665274	56665274
193	1010_chr14	1	1	1	1	103177704	103177704
194	1010_chr2	1	1	1	1	83033939	83033939
195	1010_chr3	1	1	1	1	82390586	82390586
196	1010_chr4	1	1	1	1	74491884	74491884
197	1010_chr5	1	1	1	1	87041114	87041114
198	1010_chr6	1	1	1	1	83782269	83782269
199	1010_chr7	1	1	1	1	84417612	84417612
200	1010_chr8	1	1	1	1	83620714	83620714
201	1010_chr9	1	1	1	1	86956877	86956877
202	1011_chr1	1	1	1	1	89476781	89476781
203	1011_chr10	1	1	1	1	76423090	76423090
204	1011_chr11	1	1	1	1	91763762	91763762
205	1011_chr12	1	1	1	1	85927929	85927929
206	1011_chr13	1	1	1	1	56685014	56685014
207	1011_chr14	1	1	1	1	103221296	103221296
208	1011_chr2	1	1	1	1	83565815	83565815
209	1011_chr3	1	1	1	1	82460248	82460248
210	1011_chr4	1	1	1	1	74517962	74517962
211	1011_chr5	1	1	1	1	87054014	87054014
212	1011_chr6	1	1	1	1	83864523	83864523
213	1011_chr7	1	1	1	1	84444771	84444771
214	1011_chr8	1	1	1	1	83628936	83628936
215	1011_chr9	1	1	1	1	87077708	87077708
216	1012_chr1	1	1	1	1	89569721	89569721
217	1012_chr10	1	1	1	1	76499175	76499175
218	1012_chr11	1	1	1	1	91793740	91793740
219	1012_chr12	1	1	1	1	86379738	86379738
220	1012_chr13	1	1	1	1	56922490	56922490
221	1012_chr14	1	1	1	1	103247953	103247953
222	1012_chr2	1	1	1	1	83804436	83804436
223	1012_chr3	1	1	1	1	82510030	82510030
224	1012_chr4	1	1	1	1	74537438	74537438
225	1012_chr5	1	1	1	1	87122293	87122293
226	1012_chr6	1	1	1	1	83894034	83894034
227	1012_chr7	1	1	1	1	84468083	84468083
228	1012_chr8	1	1	1	1	83712220	83712220
229	1012_chr9	1	1	1	1	87118185	87118185
230	1013_chr1	1	1	1	1	89584935	89584935
231	1013_chr10	1	1	1	1	76523928	76523928
232	1013_chr11	1	1	1	1	91993953	91993953
233	1013_chr12	1	1	1	1	86517523	86517523
234	1013_chr13	2	2	2	2	56956069	56956831
235	1013_chr14	1	1	1	1	103430771	103430771
236	1013_chr2	1	1	1	1	83900998	83900998
237	1013_chr3	3	3	3	3	82778975	82779018
238	1013_chr4	1	1	1	1	74641247	74641247
239	1013_chr5	11	11	11	11	87157456	87157461
240	1013_chr6	1	1	1	1	83905209	83905209
241	1013_chr7	1	1	1	1	84546064	84546064
242	1013_chr8	2	2	2	2	83841791	83842545
