GroupID	Index	POS	CHR	mergedClusterID
0	0	10000	chr1	0_chr1
0	0	10178	chr1	0_chr1
1	0	64658	chr1	1_chr1
2	0	101561	chr1	2_chr1
3	0	111739	chr1	3_chr1
4	0	261427	chr1	4_chr1
5	0	398800	chr1	5_chr1
5	0	398886	chr1	5_chr1
5	0	398968	chr1	5_chr1
5	0	398977	chr1	5_chr1
5	0	398991	chr1	5_chr1
5	0	399000	chr1	5_chr1
5	0	399023	chr1	5_chr1
5	0	399025	chr1	5_chr1
5	0	399151	chr1	5_chr1
6	0	409037	chr1	6_chr1
7	0	611783	chr1	7_chr1
8	0	629082	chr1	8_chr1
8	0	629092	chr1	8_chr1
8	0	629094	chr1	8_chr1
8	0	629096	chr1	8_chr1
8	0	629098	chr1	8_chr1
8	0	629100	chr1	8_chr1
8	0	629101	chr1	8_chr1
8	0	629104	chr1	8_chr1
8	0	629104	chr1	8_chr1
8	0	629107	chr1	8_chr1
8	0	629108	chr1	8_chr1
8	0	629109	chr1	8_chr1
8	0	629110	chr1	8_chr1
8	0	629110	chr1	8_chr1
8	0	629111	chr1	8_chr1
8	0	629111	chr1	8_chr1
8	0	629112	chr1	8_chr1
8	0	629113	chr1	8_chr1
8	0	629114	chr1	8_chr1
8	0	629114	chr1	8_chr1
8	0	629117	chr1	8_chr1
8	0	629118	chr1	8_chr1
8	0	629118	chr1	8_chr1
8	0	629119	chr1	8_chr1
8	0	629121	chr1	8_chr1
8	0	629124	chr1	8_chr1
8	0	629142	chr1	8_chr1
8	0	629144	chr1	8_chr1
8	0	629145	chr1	8_chr1
8	0	629146	chr1	8_chr1
8	0	629147	chr1	8_chr1
8	0	629152	chr1	8_chr1
8	0	629159	chr1	8_chr1
8	0	629175	chr1	8_chr1
8	0	629177	chr1	8_chr1
8	0	629180	chr1	8_chr1
8	0	629182	chr1	8_chr1
8	0	629184	chr1	8_chr1
8	0	629189	chr1	8_chr1
8	0	629195	chr1	8_chr1
8	0	629196	chr1	8_chr1
8	0	629197	chr1	8_chr1
8	0	629200	chr1	8_chr1
8	0	629200	chr1	8_chr1
8	0	629201	chr1	8_chr1
8	0	629201	chr1	8_chr1
8	0	629202	chr1	8_chr1
8	0	629202	chr1	8_chr1
8	0	629203	chr1	8_chr1
8	0	629206	chr1	8_chr1
8	0	629207	chr1	8_chr1
8	0	629210	chr1	8_chr1
8	0	629212	chr1	8_chr1
8	0	629214	chr1	8_chr1
8	0	629218	chr1	8_chr1
8	0	629219	chr1	8_chr1
8	0	629220	chr1	8_chr1
8	0	629223	chr1	8_chr1
8	0	629224	chr1	8_chr1
8	0	629227	chr1	8_chr1
8	0	629228	chr1	8_chr1
8	0	629229	chr1	8_chr1
8	0	629230	chr1	8_chr1
8	0	629231	chr1	8_chr1
8	0	629233	chr1	8_chr1
8	0	629241	chr1	8_chr1
8	0	629241	chr1	8_chr1
8	0	629249	chr1	8_chr1
8	0	629268	chr1	8_chr1
8	0	629270	chr1	8_chr1
8	0	629284	chr1	8_chr1
8	0	629290	chr1	8_chr1
8	0	629292	chr1	8_chr1
8	0	629295	chr1	8_chr1
8	0	629296	chr1	8_chr1
8	0	629299	chr1	8_chr1
8	0	629299	chr1	8_chr1
8	0	629304	chr1	8_chr1
8	0	629307	chr1	8_chr1
8	0	629307	chr1	8_chr1
8	0	629308	chr1	8_chr1
8	0	629310	chr1	8_chr1
8	0	629317	chr1	8_chr1
8	0	629318	chr1	8_chr1
8	0	629318	chr1	8_chr1
8	0	629320	chr1	8_chr1
8	0	629320	chr1	8_chr1
8	0	629321	chr1	8_chr1
8	0	629321	chr1	8_chr1
8	0	629323	chr1	8_chr1
8	0	629324	chr1	8_chr1
8	0	629325	chr1	8_chr1
8	0	629325	chr1	8_chr1
8	0	629326	chr1	8_chr1
8	0	629326	chr1	8_chr1
8	0	629327	chr1	8_chr1
8	0	629328	chr1	8_chr1
8	0	629329	chr1	8_chr1
8	0	629330	chr1	8_chr1
8	0	629333	chr1	8_chr1
8	0	629334	chr1	8_chr1
8	0	629334	chr1	8_chr1
8	0	629336	chr1	8_chr1
