numtID	sampleID	contigID	total	humanN	chimpN	pct_human	age
HG002_chr1.633402.634418|HISEQ1:19:H8VDAADXX:1:1116:12999:93335	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:19:H8VDAADXX:1:1116:12999:93335	11	5	6	0.45454545454545453	3.2727272727272725
HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:1105:2494:19158	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:1105:2494:19158	13	13	0	1.0	0.0
HG002_chr1.633402.634418|HISEQ1:19:H8VDAADXX:1:2104:10759:49439	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:19:H8VDAADXX:1:2104:10759:49439	11	11	0	1.0	0.0
HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:1204:14355:58861	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:1204:14355:58861	13	13	0	1.0	0.0
HG002_chr1.633402.634418|HISEQ1:20:H9V1RADXX:1:1210:19079:56421	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:20:H9V1RADXX:1:1210:19079:56421	0	0	0	0.0	0.0
HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:1:2104:8827:79327	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:1:2104:8827:79327	12	9	3	0.75	1.5
HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:2116:19073:26544	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:2116:19073:26544	14	14	0	1.0	0.0
HG002_chr1.633402.634418|HISEQ1:20:H9V1RADXX:2:1216:7826:33821	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:20:H9V1RADXX:2:1216:7826:33821	14	14	0	1.0	0.0
HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:1214:2078:90648	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:1214:2078:90648	0	0	0	0.0	0.0
HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:1:1114:1441:15297	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:1:1114:1441:15297	18	17	1	0.9444444444444444	0.3333333333333333
HG002_chr1.633402.634418|HISEQ1:19:H8VDAADXX:1:1113:4609:6159	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:19:H8VDAADXX:1:1113:4609:6159	13	13	0	1.0	0.0
HG002_chr1.633402.634418|HISEQ1:19:H8VDAADXX:1:1113:4609:6159	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:19:H8VDAADXX:1:1113:4609:6159	13	13	0	1.0	0.0
HG002_chr1.633402.634418|HISEQ1:20:H9V1RADXX:2:2204:6420:78882	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:20:H9V1RADXX:2:2204:6420:78882	0	0	0	0.0	0.0
HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:1102:11727:16881	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:1102:11727:16881	17	16	1	0.9411764705882353	0.3529411764705882
HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:1102:11727:16881	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:1102:11727:16881	17	0	0	0.0	0.0
HG002_chr1.633402.634418|HISEQ1:20:H9V1RADXX:1:1104:15011:85090	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:20:H9V1RADXX:1:1104:15011:85090	0	0	0	0.0	0.0
HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:1:1104:15794:89640	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:1:1104:15794:89640	19	17	1	0.9444444444444444	0.3333333333333333
HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:1:1112:16375:35548	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:1:1112:16375:35548	0	0	0	0.0	0.0
HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:1:2109:10122:52190	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:1:2109:10122:52190	0	0	0	0.0	0.0
HG002_chr1.633402.634418|HISEQ1:19:H8VDAADXX:1:2110:12069:31514	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:19:H8VDAADXX:1:2110:12069:31514	0	0	0	0.0	0.0
HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:2213:7352:58980	HG002_all_regions	HG002_chr1.633402.634418|HISEQ1:18:H8VC6ADXX:2:2213:7352:58980	18	17	1	0.9444444444444444	0.3333333333333333
